CountryName,CategoryName,CategoryTotal
Somalia,Birth registration total,3
Somalia,FGM prevelance in women,98
Somalia,FGM prevalance in girls,46 
Somalia,FGM prevelance in support groups,65
Somalia,Justify wife beating female,76 
South Africa,Children married by 15,1 
South Africa,Children married by 18,6 
South Africa,Birth registration total,95 
South Sudan,Children married by 15,9
South Sudan,Children married by 18,52
South Sudan,Birth registration total,35
South Sudan,Justify wife beating female,79
Spain,Birth registration total,100 
Sri Lanka,Children married by 15,2
Sri Lanka,Children married by 18,12
Sri Lanka,Birth registration total,97
Sri Lanka,Justify wife beating female,53 
State of Palestine,Child_labour_total,6
State of Palestine,Child_labour_male,7
State of Palestine,Child_labour_female,4
State of Palestine,Children married by 15,2
State of Palestine,Children married by 18,21
State of Palestine,Birth registration total,99
State of Palestine,Violent discipline total,93
State of Palestine,Violent discipline male,94
State of Palestine,Violent discipline female,92
Sudan,Children married by 15,7
Sudan,Children married by 18,33
Sudan,Birth registration total,59
Sudan,FGM prevelance in women,88
Sudan,FGM prevalance in girls,37
Sudan,FGM prevelance in support groups,42
Sudan,Justify wife beating female,47
Suriname,Child_labour_total,4
Suriname,Child_labour_male,4
Suriname,Child_labour_female,4
Suriname,Children married by 15,5
Suriname,Children married by 18,19
Suriname,Birth registration total,99
Suriname,Justify wife beating female,13
Suriname,Violent discipline total,86
Suriname,Violent discipline male,87
Suriname,Violent discipline female,85
Swaziland,Child_labour_total,7
Swaziland,Child_labour_male,8
Swaziland,Child_labour_female,7
Swaziland,Children married by 15,1
Swaziland,Children married by 18,7
Swaziland,Birth registration total,50
Swaziland,Justify wife beating male,23 
Swaziland,Justify wife beating female,28
Swaziland,Violent discipline total,89
Swaziland,Violent discipline male,90
Swaziland,Violent discipline female,88
Sweden,Birth registration total,100 
Switzerland,Birth registration total,100 
Syrian Arab Republic,Child_labour_total,4
Syrian Arab Republic,Child_labour_male,5
Syrian Arab Republic,Child_labour_female,3
Syrian Arab Republic,Children married by 15,3
Syrian Arab Republic,Children married by 18,13
Syrian Arab Republic,Birth registration total,96
Syrian Arab Republic,Violent discipline total,89
Syrian Arab Republic,Violent discipline male,90
Syrian Arab Republic,Violent discipline female,88
Tajikistan,Child_labour_total,10
Tajikistan,Child_labour_male,9
Tajikistan,Child_labour_female,11
Tajikistan,Children married by 15,1
Tajikistan,Children married by 18,13
Tajikistan,Birth registration total,88
Tajikistan,Justify wife beating female,74 
Tajikistan,Violent discipline total,78
Tajikistan,Violent discipline male,80
Tajikistan,Violent discipline female,75
Thailand,Child_labour_total,8
Thailand,Child_labour_male,8
Thailand,Child_labour_female,8
Thailand,Children married by 15,3
Thailand,Children married by 18,20
Thailand,Birth registration total,100
The former Yugoslav Republic of Macedonia,Child_labour_total,13
The former Yugoslav Republic of Macedonia,Child_labour_male,12
The former Yugoslav Republic of Macedonia,Child_labour_female,13
The former Yugoslav Republic of Macedonia,Children married by 15,1
The former Yugoslav Republic of Macedonia,Children married by 18,7
The former Yugoslav Republic of Macedonia,Birth registration total,100
The former Yugoslav Republic of Macedonia,Justify wife beating female,15
The former Yugoslav Republic of Macedonia,Violent discipline total,69
The former Yugoslav Republic of Macedonia,Violent discipline male,71
The former Yugoslav Republic of Macedonia,Violent discipline female,67
Timor-Leste,Child_labour_total,4 
Timor-Leste,Child_labour_male,4 
Timor-Leste,Child_labour_female,4 
Timor-Leste,Children married by 15,3
Timor-Leste,Children married by 18,19
Timor-Leste,Birth registration total,55
Timor-Leste,Justify wife beating male,81
Timor-Leste,Justify wife beating female,86
Togo,Child_labour_total,28
Togo,Child_labour_male,28
Togo,Child_labour_female,29
Togo,Children married by 15,6
Togo,Children married by 18,25
Togo,Birth registration total,78
Togo,FGM prevelance in women,4
Togo,FGM prevelance in support groups,2
Togo,Justify wife beating female,43
Togo,Violent discipline total,93
Togo,Violent discipline male,94
Togo,Violent discipline female,93
Trinidad and Tobago,Child_labour_total,1
Trinidad and Tobago,Child_labour_male,1
Trinidad and Tobago,Child_labour_female,1
Trinidad and Tobago,Children married by 15,2
Trinidad and Tobago,Children married by 18,8
Trinidad and Tobago,Birth registration total,97
Trinidad and Tobago,Justify wife beating female,8
Trinidad and Tobago,Violent discipline total,77
Trinidad and Tobago,Violent discipline male,78
Trinidad and Tobago,Violent discipline female,77
Tunisia,Child_labour_total,2
Tunisia,Child_labour_male,3
Tunisia,Child_labour_female,2
Tunisia,Children married by 18,2
Tunisia,Birth registration total,99
Tunisia,Justify wife beating female,30
Tunisia,Violent discipline total,93
Tunisia,Violent discipline male,94
Tunisia,Violent discipline female,92
Turkey,Child_labour_total,3 
Turkey,Child_labour_male,3 
Turkey,Child_labour_female,2 
Turkey,Children married by 15,3
Turkey,Children married by 18,14
Turkey,Birth registration total,94
Turkey,Justify wife beating female,25
Turkmenistan,Children married by 15,1
Turkmenistan,Children married by 18,7
Turkmenistan,Birth registration total,96
Turkmenistan,Justify wife beating female,38 
Tuvalu,Children married by 18,10
Tuvalu,Birth registration total,50
Tuvalu,Justify wife beating male,73
Tuvalu,Justify wife beating female,70
Uganda,Child_labour_total,25 
Uganda,Child_labour_male,27 
Uganda,Child_labour_female,24 
Uganda,Children married by 15,10
Uganda,Children married by 18,40
Uganda,Birth registration total,30
Uganda,FGM prevelance in women,1
Uganda,FGM prevalance in girls,1
Uganda,FGM prevelance in support groups,9
Uganda,Justify wife beating male,44
Uganda,Justify wife beating female,58
Ukraine,Child_labour_total,7
Ukraine,Child_labour_male,8
Ukraine,Child_labour_female,7
Ukraine,Children married by 18,10
Ukraine,Birth registration total,100
Ukraine,Justify wife beating male,11
Ukraine,Justify wife beating female,4
Ukraine,Violent discipline total,70
Ukraine,Violent discipline male,76
Ukraine,Violent discipline female,65
United Arab Emirates,Birth registration total,100 
United Kingdom,Birth registration total,100 
United Republic of Tanzania,Child_labour_total,21 
United Republic of Tanzania,Child_labour_male,23 
United Republic of Tanzania,Child_labour_female,19 
United Republic of Tanzania,Children married by 15,7
United Republic of Tanzania,Children married by 18,37
United Republic of Tanzania,Birth registration total,16
United Republic of Tanzania,FGM prevelance in women,15
United Republic of Tanzania,FGM prevalance in girls,3 
United Republic of Tanzania,FGM prevelance in support groups,6
United Republic of Tanzania,Justify wife beating male,38
United Republic of Tanzania,Justify wife beating female,54
United States,Birth registration total,100 
Uruguay,Child_labour_total,8 
Uruguay,Child_labour_male,8 
Uruguay,Child_labour_female,8 
Uruguay,Birth registration total,100 
Uzbekistan,Children married by 18,7
Uzbekistan,Birth registration total,100
Uzbekistan,Justify wife beating male,"59 ,"
Uzbekistan,Justify wife beating female,70 
Vanuatu,Children married by 15,9
Vanuatu,Children married by 18,27
Vanuatu,Birth registration total,43
Vanuatu,Justify wife beating female,60 
Vanuatu,Violent discipline total,78 
Venezuela (Bolivarian Republic of),Child_labour_total,8 
Venezuela (Bolivarian Republic of),Child_labour_male,9 
Venezuela (Bolivarian Republic of),Child_labour_female,6 
Venezuela (Bolivarian Republic of),Birth registration total,81 
Viet Nam,Child_labour_total,7
Viet Nam,Child_labour_male,7
Viet Nam,Child_labour_female,7
Viet Nam,Children married by 15,1
Viet Nam,Children married by 18,9
Viet Nam,Birth registration total,95
Viet Nam,Justify wife beating female,36
Viet Nam,Violent discipline total,74
Viet Nam,Violent discipline male,76
Viet Nam,Violent discipline female,71
Yemen,Child_labour_total,23
Yemen,Child_labour_male,21
Yemen,Child_labour_female,24
Yemen,Children married by 15,12
Yemen,Children married by 18,32
Yemen,Birth registration total,17 
Yemen,FGM prevelance in women,17
Yemen,FGM prevalance in girls,15
Yemen,FGM prevelance in support groups,"41 ,"
Yemen,Violent discipline total,95
Yemen,Violent discipline male,95
Yemen,Violent discipline female,95
Zambia,Child_labour_total,41 
Zambia,Child_labour_male,42 
Zambia,Child_labour_female,40 
Zambia,Children married by 15,9
Zambia,Children married by 18,42
Zambia,Birth registration total,14
Zambia,Justify wife beating male,49
Zambia,Justify wife beating female,62
Zimbabwe,Children married by 15,4
Zimbabwe,Children married by 18,31
Zimbabwe,Birth registration total,49
Zimbabwe,Justify wife beating male,34
Zimbabwe,Justify wife beating female,40
